customer_id,first_name,age,account_balance,is_premium,country,signup_date,subscription_tier
5017,SUOcJD4u,49,1158.6,False,UK,2022-05-09T00:00:00,Enterprise
5982,Ok6zTjbO,49,32193.78,False,Australia,2024-10-14T00:00:00,Enterprise
6895,LEadO3q5,28,9286.33,True,UK,2022-03-29T00:00:00,Premium
4120,Re9NlV6q,67,13216.9,True,Germany,2023-07-31T00:00:00,Enterprise
7338,J6of3Vx4,69,29828.61,False,UK,2022-01-06T00:00:00,Basic
2825,4BFchXj2,57,43078.02,True,USA,2022-05-15T00:00:00,Premium
5044,eX5nI6K7,53,41914.08,True,UK,2023-07-15T00:00:00,Premium
2881,lSe4yPHF,44,5826.72,True,Germany,2022-09-16T00:00:00,Basic
1529,wwXJELiR,70,44202.56,True,Germany,2023-05-08T00:00:00,Free
3920,0wUznrfg,57,41736.27,False,Australia,2024-06-17T00:00:00,Free
5878,RnpPHiYU,66,32402.41,False,Canada,2023-05-26T00:00:00,Free
3456,9FjJcg4J,74,47147.45,True,Germany,2024-09-09T00:00:00,Free
6562,5SSI3Rim,20,9319.34,False,Australia,2023-06-29T00:00:00,Premium
1150,aX3VxTSR,40,11841.41,False,Australia,2024-08-02T00:00:00,Basic
3252,NWnu0TAM,71,1240.07,True,UK,2023-06-25T00:00:00,Free
3790,yecPNOgh,23,46278.17,False,USA,2023-04-10T00:00:00,Free
3940,mx855qY9,44,18074.52,True,Germany,2024-03-03T00:00:00,Basic
9020,S0bIY27C,62,9084.52,False,UK,2024-06-25T00:00:00,Basic
1406,6frc0Baf,38,43101.7,True,Canada,2023-06-18T00:00:00,Free
3613,EoZVS8eQ,47,47412.68,False,Canada,2022-09-19T00:00:00,Free
9083,42OWyKzg,28,33318.68,True,Australia,2022-12-26T00:00:00,Enterprise
6592,IRB1EHJZ,23,23968.29,False,Canada,2022-06-16T00:00:00,Enterprise
2918,iN62GKCO,71,40068.93,True,Australia,2022-09-04T00:00:00,Enterprise
6623,LbeUuo9k,61,42531.44,False,USA,2023-11-26T00:00:00,Premium
5607,ZFXeEv7j,62,45019.87,False,USA,2024-12-31T00:00:00,Basic
2473,iLXyuWww,22,48847.6,True,Germany,2023-09-11T00:00:00,Enterprise
7377,eb20B6nn,44,577.33,True,UK,2022-01-10T00:00:00,Free
4770,GkNaouw1,56,39493.64,False,Australia,2023-10-02T00:00:00,Premium
7275,eLMRJpFn,64,28657.19,False,Germany,2023-02-15T00:00:00,Enterprise
4830,T0X22zi8,46,30350.85,True,Germany,2023-07-11T00:00:00,Enterprise
8803,SBgKXmBv,41,19276.43,True,USA,2022-02-24T00:00:00,Free
5793,9lClkEIB,36,20737.94,True,Australia,2024-03-08T00:00:00,Basic
6112,QFy3dX9n,54,6744.84,True,UK,2023-02-23T00:00:00,Free
3150,KCxrxRTv,71,37310.24,False,USA,2023-03-09T00:00:00,Enterprise
1821,Yh1onTiM,46,28130.63,False,Germany,2022-12-22T00:00:00,Premium
7643,qhu0fthy,46,32892.96,False,Australia,2024-01-11T00:00:00,Basic
8667,EfVhQHHI,53,42424.97,True,Germany,2022-04-16T00:00:00,Premium
8299,Xfruxvl5,56,30864.22,False,Australia,2023-07-27T00:00:00,Basic
7293,jWTc5sOr,38,33997.96,True,Canada,2022-02-23T00:00:00,Basic
7476,ENFqmWrg,27,5552.91,True,Australia,2022-09-08T00:00:00,Basic
5895,deQIOAz8,46,49675.45,False,Australia,2022-03-27T00:00:00,Basic
5615,gl2iCcad,35,25552.25,True,UK,2024-11-12T00:00:00,Premium
5281,dDWFJp0D,41,44010.55,True,Canada,2022-03-01T00:00:00,Enterprise
2498,fnVhO8Kh,27,32066.37,False,Canada,2024-08-12T00:00:00,Free
8729,ZtCdubBU,44,38403.86,False,Australia,2024-04-16T00:00:00,Free
4311,krB2269l,54,42905.39,True,USA,2024-03-15T00:00:00,Enterprise
7760,qPJtHOFH,39,30406.25,False,Australia,2022-06-11T00:00:00,Premium
4104,dnH3UPBO,43,8942.39,True,Canada,2023-12-30T00:00:00,Premium
6827,WsfrGVYP,43,31026.53,False,UK,2024-01-07T00:00:00,Free
6929,1NYeW9xY,69,39239.6,False,Australia,2024-07-27T00:00:00,Premium
8205,wqya5pbU,65,31248.87,True,USA,2024-08-21T00:00:00,Free
5583,D0AjockY,70,4006.31,False,Germany,2022-12-15T00:00:00,Free
8895,Q359LiJD,66,20496.75,False,Germany,2022-02-19T00:00:00,Enterprise
4874,Rydsndyl,62,6635.46,True,Canada,2024-05-15T00:00:00,Premium
